#Parameters = {H=5; L=20; N=8; a=70; circumf=45.707963267949; gap=1; offset=1; planeW=0.5; spread_factor=1.2; wg=0.25}
#"Frequency / GHz"	"S2,2 [Real/Imaginary Part] [Re]"	"S2,2 [Real/Imaginary Part] [Im]"
#-------------------------------------------------------------------------------------
0.10000000000000	0.99999276164668	0.00072105169662584
0.10010000000000	0.99999277196425	0.00071940567860960
0.10020000000000	0.99999278225250	0.00071776177432394
0.10030000000000	0.99999279251152	0.00071611997638119
0.10040000000000	0.99999280274139	0.00071448027741959
0.10050000000000	0.99999281294219	0.00071284267010301
0.10060000000000	0.99999282311399	0.00071120714712090
0.10070000000000	0.99999283325688	0.00070957370118808
0.10080000000000	0.99999284337094	0.00070794232504464
0.10090000000000	0.99999285345624	0.00070631301145585
0.10100000000000	0.99999286351286	0.00070468575321183
0.10110000000000	0.99999287354088	0.00070306054312769
0.10120000000000	0.99999288354039	0.00070143737404314
0.10130000000000	0.99999289351145	0.00069981623882250
0.10140000000000	0.99999290345414	0.00069819713035448
0.10150000000000	0.99999291336854	0.00069658004155213
0.10160000000000	0.99999292325472	0.00069496496535261
0.10170000000000	0.99999293311276	0.00069335189471714
0.10180000000000	0.99999294294274	0.00069174082263079
0.10190000000000	0.99999295274473	0.00069013174210239
0.10200000000000	0.99999296251881	0.00068852464616443
0.10210000000000	0.99999297226504	0.00068691952787283
0.10220000000000	0.99999298198351	0.00068531638030688
0.10230000000000	0.99999299167428	0.00068371519656913
0.10240000000000	0.99999300133743	0.00068211596978520
0.10250000000000	0.99999301097303	0.00068051869310366
0.10260000000000	0.99999302058116	0.00067892335969594
0.10270000000000	0.99999303016188	0.00067732996275615
0.10280000000000	0.99999303971528	0.00067573849550102
0.10290000000000	0.99999304924141	0.00067414895116973
0.10300000000000	0.99999305874034	0.00067256132302375
0.10310000000000	0.99999306821216	0.00067097560434677
0.10320000000000	0.99999307765693	0.00066939178844458
0.10330000000000	0.99999308707472	0.00066780986864489
0.10340000000000	0.99999309646560	0.00066622983829726
0.10350000000000	0.99999310582964	0.00066465169077294
0.10360000000000	0.99999311516691	0.00066307541946479
0.10370000000000	0.99999312447747	0.00066150101778711
0.10380000000000	0.99999313376139	0.00065992847917553
0.10390000000000	0.99999314301875	0.00065835779708694
0.10400000000000	0.99999315224961	0.00065678896499929
0.10410000000000	0.99999316145403	0.00065522197641152
0.10420000000000	0.99999317063208	0.00065365682484346
0.10430000000000	0.99999317978384	0.00065209350383564
0.10440000000000	0.99999318890936	0.00065053200694924
0.10450000000000	0.99999319800871	0.00064897232776595
0.10460000000000	0.99999320708196	0.00064741445988784
0.10470000000000	0.99999321612916	0.00064585839693727
0.10480000000000	0.99999322515040	0.00064430413255675
0.10490000000000	0.99999323414572	0.00064275166040883
0.10500000000000	0.99999324311520	0.00064120097417602
0.10510000000000	0.99999325205890	0.00063965206756059
0.10520000000000	0.99999326097688	0.00063810493428459
0.10530000000000	0.99999326986920	0.00063655956808959
0.10540000000000	0.99999327873593	0.00063501596273669
0.10550000000000	0.99999328757714	0.00063347411200635
0.10560000000000	0.99999329639287	0.00063193400969824
0.10570000000000	0.99999330518319	0.00063039564963124
0.10580000000000	0.99999331394818	0.00062885902564323
0.10590000000000	0.99999332268787	0.00062732413159100
0.10600000000000	0.99999333140235	0.00062579096135021
0.10610000000000	0.99999334009166	0.00062425950881520
0.10620000000000	0.99999334875587	0.00062272976789887
0.10630000000000	0.99999335739504	0.00062120173253268
0.10640000000000	0.99999336600922	0.00061967539666645
0.10650000000000	0.99999337459848	0.00061815075426827
0.10660000000000	0.99999338316288	0.00061662779932440
0.10670000000000	0.99999339170247	0.00061510652583918
0.10680000000000	0.99999340021731	0.00061358692783491
0.10690000000000	0.99999340870747	0.00061206899935176
0.10700000000000	0.99999341717299	0.00061055273444761
0.10710000000000	0.99999342561393	0.00060903812719804
0.10720000000000	0.99999343403036	0.00060752517169615
0.10730000000000	0.99999344242233	0.00060601386205248
0.10740000000000	0.99999345078990	0.00060450419239493
0.10750000000000	0.99999345913311	0.00060299615686863
0.10760000000000	0.99999346745204	0.00060148974963583
0.10770000000000	0.99999347574672	0.00059998496487583
0.10780000000000	0.99999348401723	0.00059848179678490
0.10790000000000	0.99999349226361	0.00059698023957608
0.10800000000000	0.99999350048592	0.00059548028747919
0.10810000000000	0.99999350868421	0.00059398193474068
